vertex,x,y,z,basis,conductor
33,6.8164791795999999e+00,-2.0499999999999994e+00,8.3999999999999932e+00,33,0
34,9.4091201579999986e+00,-2.0499999999999994e+00,8.3999999999999932e+00,34,0
35,9.4583333333500033e+00,-2.0499999999999994e+00,8.3999999999999932e+00,35,0
36,1.1750000000000002e+01,-2.0499999999999994e+00,8.3999999999999932e+00,36,0
37,1.1750000000000002e+01,-2.0499999999999989e+00,8.0057380650999832e+00,37,0
38,1.1750000000000002e+01,-2.0499999999999989e+00,6.3999999999999861e+00,38,0
39,1.1750000000000002e+01,-2.0499999999999985e+00,4.2651419348999831e+00,39,0
40,1.1750000000000002e+01,-2.0499999999999985e+00,3.9904942256999871e+00,40,0
41,1.1750000000000002e+01,-2.0499999999999985e+00,3.6224346049999920e+00,41,0
42,1.1750000000000002e+01,-2.0499999999999980e+00,1.0458333333249921e+00,42,0
43,1.1750000000000002e+01,-2.0499999999999980e+00,9.3882169259998638e-01,43,0
44,1.1750000000000002e+01,-2.0499999999999980e+00,3.9999999999999131e-01,44,0
45,1.1750000000000002e+01,-2.0499999999999980e+00,-6.0000000000000797e-01,45,0
46,1.1750000000000002e+01,-2.0499999999999980e+00,-9.5001078950001194e-01,46,0
47,1.1750000000000002e+01,-2.0499999999999976e+00,-2.0032897812000088e+00,47,0
48,1.1750000000000002e+01,-2.0499999999999972e+00,-4.8902812785000016e+00,48,0
49,1.1750000000000002e+01,-2.0499999999999972e+00,-5.9664012199999972e+00,49,0
50,1.1750000000000002e+01,-2.0499999999999972e+00,-6.1819236101000028e+00,50,0
51,1.1750000000000002e+01,-2.0499999999999972e+00,-6.5999999999999961e+00,51,0
52,1.1750000000000002e+01,-2.0499999999999972e+00,-6.7087678181999895e+00,52,0
53,1.1750000000000002e+01,-4.9999999999998844e-02,-8.5999999999999925e+00,53,0
54,1.0858062549900001e+01,-4.9999999999998837e-02,-8.5999999999999925e+00,54,0
55,9.5233990068000018e+00,-4.9999999999998837e-02,-8.5999999999999925e+00,55,0
56,6.9641101095000018e+00,-4.9999999999998830e-02,-8.5999999999999925e+00,56,0
57,6.5000000000000018e+00,-4.9999999999998823e-02,-8.5999999999999925e+00,57,0
58,2.1041666666750003e+00,-4.9999999999998816e-02,-8.5999999999999925e+00,58,0
59,-5.5000000000000009e+00,-4.9999999999998788e-02,-8.5999999999999925e+00,59,0
60,-7.5416666666500038e+00,-4.9999999999998782e-02,-8.5999999999999925e+00,60,0
61,-7.5977397706000023e+00,-4.9999999999998782e-02,-8.5999999999999925e+00,61,0
62,-9.8333333333000024e+00,-4.9999999999998775e-02,-8.5999999999999925e+00,62,0
63,-9.8333333333000024e+00,-4.9999999999998816e-02,-8.3365619420999924e+00,63,0
64,-9.8333333333000024e+00,-4.9999999999999052e-02,-6.5999999999999943e+00,64,0
65,-9.8333333333000024e+00,-4.9999999999999059e-02,-6.5476897913999927e+00,65,0
66,-9.8333333333000024e+00,-4.9999999999999455e-02,-3.6766970923999982e+00,66,0
67,-9.8333333333000024e+00,-4.9999999999999503e-02,-3.3083277737999959e+00,67,0
68,-9.8333333333000024e+00,-4.9999999999999538e-02,-3.0748338744000003e+00,68,0
69,-9.8333333333000024e+00,-4.9999999999999788e-02,-1.2458333333249976e+00,69,0
70,-9.8333333333000024e+00,-4.9999999999999878e-02,-6.0000000000000431e-01,70,0
71,-9.8333333333000024e+00,-4.9999999999999899e-02,-4.2343121930000233e-01,71,0
72,-9.8333333333000024e+00,-5.0000000000000010e-02,3.9999999999999503e-01,72,0
73,-9.8333333333000024e+00,-5.0000000000000266e-02,2.2561429775999944e+00,73,0
74,-9.8333333333000024e+00,-5.0000000000000357e-02,2.9161749516999946e+00,74,0
75,-9.8333333333000024e+00,-5.0000000000000711e-02,5.4902959482999938e+00,75,0
76,-9.8333333333000024e+00,-5.0000000000000835e-02,6.3999999999999977e+00,76,0
77,-9.8333333333000024e+00,-5.0000000000001023e-02,7.7926541694999942e+00,77,0
78,-9.8333333333000024e+00,-5.0000000000001106e-02,8.3999999999999932e+00,78,0
